id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,107598.0,2137849603370,1,2137849603370,28668694414,109071.0,106802.0,-1473.319665208459,-1.35079,-28835670603.254883,-1.33087,19869796.0,19869796.0,21000000.0,111814.0,-3.75094,2025-05-22T18:41:28.492Z,67.81,158610.61862,2013-07-06T00:00:00.000Z,Unknown,2025-05-25T20:37:23.382Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2521.01,304290661820,2,304290661820,13450389192,2554.59,2479.53,-33.404854155362955,-1.30773,-3954984398.2579956,-1.28306,120725964.145659,120725964.145659,10003352445917.512,4878.26,-48.34656,2021-11-10T14:24:19.604Z,0.432979,581865.9428,2015-10-20T00:00:00.000Z,"{'times': 30.32373818665742, 'currency': 'btc', 'percentage': 3032.373818665742}",2025-05-25T20:37:23.056Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,152777148448,3,152777148448,45624245689,1.0,1.0,8.415e-05,0.00841,43131280.0,0.02824,152732954758.0377,152732954758.0377,10003352445917.512,1.32,-24.39731,2018-07-24T00:00:00.000Z,0.572521,74.71772,2015-03-02T00:00:00.000Z,Unknown,2025-05-25T20:37:23.139Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.3,135192724252,4,230334194294,1725587726,2.35,2.2800000000000002,-0.045759063934589006,-1.9477700000000002,-2673733850.263275,-1.93937,58686007292.0,99986107098.0,100000000000.0,3.4,-32.19464,2018-01-07T00:00:00.000Z,0.00268621,85683.83926,2014-05-22T00:00:00.000Z,Unknown,2025-05-25T20:37:22.786Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,667.39,97364572479,5,97364572479,760237143,674.99,657.95,-7.60836235282386,-1.12717,-1107101642.2171326,-1.12428,145887575.79,145887575.79,200000000.0,788.84,-15.38177,2024-12-04T10:35:25.220Z,0.0398177,1676304.00877,2017-10-19T00:00:00.000Z,Unknown,2025-05-25T20:37:21.303Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,172.16,89569682537,6,103557245845,3720929880,177.66,169.9,-5.452170193964235,-3.06963,-2806069259.010544,-3.03767,520283602.9917186,601533191.3450824,10003352445917.512,293.31,-41.30475,2025-01-19T11:15:27.957Z,0.5008009999999999,34276.9517,2020-05-11T19:35:23.449Z,Unknown,2025-05-25T20:37:21.367Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999768,61700735862,7,61700735862,6167854274,0.999817,0.999695,-3.0950965351217e-05,-0.0031000000000000003,-20390539.858016968,-0.03304,61715658160.27958,61715658160.27958,10003352445917.512,1.17,-14.74584,2019-05-08T00:40:28.300Z,0.877647,13.91609,2023-03-11T08:02:13.981Z,Unknown,2025-05-25T20:37:30.128Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.219487,32788039186,8,32794033307,1497538823,0.227739,0.217414,-0.00825171212456,-3.62332,-1233536056.370121,-3.62575,149386596383.7052,149413906383.7052,10003352445917.512,0.731578,-69.94642,2021-05-08T05:08:23.458Z,8.69e-05,252898.77708,2015-05-06T00:00:00.000Z,Unknown,2025-05-25T20:37:21.242Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.746347,26923863892,9,33587511856,656127416,0.7534989999999999,0.7305659999999999,-0.0071342072388750006,-0.9468300000000001,-245398045.78819656,-0.90322,36072153255.98219,45000000000.0,45000000000.0,3.09,-75.80054,2021-09-02T06:00:10.474Z,0.01925275,3780.04728,2020-03-13T02:22:55.044Z,Unknown,2025-05-25T20:37:22.864Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.27115,25724624696,10,25724630429,538995917,0.273184,0.269273,0.00027713,0.10231000000000001,27204446.0,0.10586000000000001,94877824827.88739,94877845974.37158,10003352445917.512,0.431288,-37.18163,2024-12-04T00:10:40.323Z,0.00180434,14915.3557,2017-11-12T00:00:00.000Z,"{'times': 141.710634719296, 'currency': 'usd', 'percentage': 14171.0634719296}",2025-05-25T20:37:22.404Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2519.55,22670316442,11,22670316442,12572364,2554.96,2476.08,-35.40909293546247,-1.3859,-323315195.9953804,-1.40611,8997774.645206638,8997774.645206638,10003352445917.512,4829.57,-47.82632,2021-11-10T14:40:47.256Z,482.9,421.80258,2020-12-22T04:08:21.854Z,Unknown,2025-05-25T20:37:29.999Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,107380.0,13834711755,12,13834711755,194502066,108960.0,106664.0,-1579.8315381089924,-1.44992,-187447653.72086906,-1.3368,128814.95633878,128814.95633878,128814.95633878,111685.0,-3.80591,2025-05-22T18:56:49.172Z,3139.17,3322.38832,2019-04-02T00:00:00.000Z,Unknown,2025-05-25T20:37:26.285Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,38.61,12893418608,13,38610981305,396764671,39.1,33.72,2.39,6.60712,809782405.0,6.70148,333928180.0,999990391.0,1000000000.0,39.1,-0.34172,2025-05-25T19:31:34.737Z,3.81,922.97749,2024-11-29T09:30:30.871Z,Unknown,2025-05-25T20:37:25.263Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.5300000000000002,11771478713,14,35261610532,919957389,3.65,3.47,-0.11460064547378,-3.14771,-370021153.1410694,-3.04757,3338327017.911665,10000000000.0,10000000000.0,5.35,-34.0271,2025-01-04T22:56:18.063Z,0.364846,866.78663,2023-10-19T10:40:30.078Z,Unknown,2025-05-25T20:37:27.011Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3031.72,10595770406,15,10595770406,9965928,3073.86,2970.42,-39.25204198427855,-1.27816,-134099903.84793091,-1.2497800000000001,3494296.950964096,3494296.950964096,10003352445917.512,7256.02,-58.2291,2022-05-13T15:09:54.509Z,558.54,442.64775,2022-05-13T01:36:45.053Z,Unknown,2025-05-25T20:37:28.992Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,15.08,9913686798,16,15087029742,327961906,15.48,14.93,-0.38726114391057104,-2.50296,-249757014.35329437,-2.45741,657099970.4527868,1000000000.0,1000000000.0,52.7,-71.34717,2021-05-10T00:13:57.214Z,0.14818299999999998,10089.45959,2017-11-29T00:00:00.000Z,Unknown,2025-05-25T20:37:28.457Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,22.43,9447477528,17,10232740665,282003843,23.07,22.13,-0.626187769191208,-2.7154100000000003,-263152236.58823395,-2.70994,421115712.1851498,456118351.1822282,720000000.0,144.96,-84.52248,2021-11-21T14:18:56.538Z,2.8,700.99555,2020-12-31T13:15:21.540Z,Unknown,2025-05-25T20:37:22.306Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.283276,8814399483,18,14164356829,162378312,0.287782,0.279095,-0.004274765194182,-1.48661,-122771820.52282143,-1.37372,31115830381.52881,50001786892.81785,50001786892.81785,0.875563,-67.63427,2018-01-03T00:00:00.000Z,0.00047612,59418.67773,2015-03-05T00:00:00.000Z,Unknown,2025-05-25T20:37:22.278Z
