asset_id,name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
0,Bitcoin,btc,107598.0,2137849603370,28668694414,-1.35079
1,Ethereum,eth,2521.01,304290661820,13450389192,-1.30773
2,Tether,usdt,1.0,152777148448,45624245689,0.00841
3,XRP,xrp,2.3,135192724252,1725587726,-1.9477700000000002
4,BNB,bnb,667.39,97364572479,760237143,-1.12717
5,Solana,sol,172.16,89569682537,3720929880,-3.06963
6,USDC,usdc,0.999768,61700735862,6167854274,-0.0031000000000000003
7,Dogecoin,doge,0.219487,32788039186,1497538823,-3.62332
8,Cardano,ada,0.746347,26923863892,656127416,-0.9468300000000001
9,TRON,trx,0.27115,25724624696,538995917,0.10231000000000001
10,Lido Staked Ether,steth,2519.55,22670316442,12572364,-1.3859
11,Wrapped Bitcoin,wbtc,107380.0,13834711755,194502066,-1.44992
12,Hyperliquid,hype,38.61,12893418608,396764671,6.60712
13,Sui,sui,3.5300000000000002,11771478713,919957389,-3.14771
14,Wrapped stETH,wsteth,3031.72,10595770406,9965928,-1.27816
15,Chainlink,link,15.08,9913686798,327961906,-2.50296
16,Avalanche,avax,22.43,9447477528,282003843,-2.7154100000000003
17,Stellar,xlm,0.283276,8814399483,162378312,-1.48661
18,Shiba Inu,shib,1.4110000000000002e-05,8315922815,197654632,-2.49503
19,LEO Token,leo,8.91,8222945547,2738514,1.05789
20,Bitcoin Cash,bch,413.72,8222826292,173779680,-2.90743
21,Hedera,hbar,0.184356,7793765189,127182633,-3.3321300000000003
22,Monero,xmr,410.51,7579760109,96781137,2.7736
23,Toncoin,ton,2.9699999999999998,7390578333,144105318,-2.02978
24,Litecoin,ltc,94.39,7163125782,343214760,-2.41895
25,WETH,weth,2521.02,7130403440,54011474,-1.4265
26,Polkadot,dot,4.43,6747226788,177668435,-3.53541
27,USDS,usds,0.999799,6651722393,3695194,0.015080000000000001
28,Bitget Token,bgb,5.3,6199596278,103730137,-5.7097
29,Wrapped eETH,weeth,2692.37,6117201530,5366345,-1.31335
30,Binance Bridged USDT (BNB Smart Chain),bsc-usd,1.001,5986452266,4537555867,0.06914000000000001
31,Pi Network,pi,0.772559,5595236278,104707560,-0.69867
32,Pepe,pepe,1.3040000000000002e-05,5485032684,1408770209,-6.34547
33,Ethena USDe,usde,1.0,5208610529,59867919,-0.07385000000000001
34,WhiteBIT Coin,wbt,32.24,4646760669,29132017,1.14014
35,Coinbase Wrapped BTC,cbbtc,107548.0,4558185831,192797069,-1.45112
36,Aave,aave,263.22,3985153404,534511554,-0.55339
37,Dai,dai,0.999922,3707122668,59037635,-0.019960000000000002
38,Bittensor,tao,422.76,3687727242,88240407,-2.85276
39,Uniswap,uni,6.03,3622860408,201911528,-2.72186
40,NEAR Protocol,near,2.68,3271971262,168843638,-4.20542
41,Aptos,apt,5.14,3253712134,162084270,-4.80287
42,Jito Staked SOL,jitosol,207.25,3135854121,42380549,-3.04854
43,OKB,okb,52.03,3121125512,7081295,-0.5862900000000001
44,BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2922443478,0,0.0
45,Ondo,ondo,0.923836,2917990567,126874477,-2.79435
46,Cronos,cro,0.09505799999999999,2838264172,18350583,-0.9875200000000001
47,Ethereum Classic,etc,18.04,2743335766,50487017,-2.88898
48,Kaspa,kas,0.104352,2735921326,58158302,-4.4175
49,Internet Computer,icp,5.12,2733119945,53975614,-2.64106
50,Ethena Staked USDe,susde,1.17,2651010781,9283274,-0.00028000000000000003
51,Tokenize Xchange,tkx,32.74,2618831112,26813739,-5.23625
52,Gate,gt,21.16,2567848387,14037030,-0.9958600000000001
53,Official Trump,trump,12.57,2514409547,564777037,-3.56361
54,Mantle,mnt,0.7330749999999999,2467189040,229930843,-0.5414800000000001
55,Render,render,4.59,2374043418,417754467,-2.68345
56,VeChain,vet,0.02670144,2295755806,44616428,-3.48101
57,USD1,usd1,1.0,2149920843,69086578,-0.0021300000000000004
58,Cosmos Hub,atom,4.73,2132291708,106796884,-0.23666
59,Ethena,ena,0.364596,2118630922,174135607,-1.80041
60,Artificial Superintelligence Alliance,fet,0.806928,2101809630,149528922,-6.38561
61,POL (ex-MATIC),pol,0.231018,2059536839,56771147,-1.48243
62,Worldcoin,wld,1.35,2049333466,272558203,-5.07621
63,Lombard Staked BTC,lbtc,106793.0,2036785521,3542020,-1.99756
64,sUSDS,susds,1.052,1956514806,4325026,0.00945
65,Fasttoken,ftn,4.41,1894474265,55044501,-0.41442
66,Arbitrum,arb,0.38353000000000004,1863797019,121254051,-3.06726
67,Filecoin,fil,2.77,1851885109,120856705,-3.07163
68,Algorand,algo,0.215223,1851326299,47690547,-3.15629
69,First Digital USD,fdusd,0.9992209999999999,1644986432,3714528725,-0.06848
70,Celestia,tia,2.49,1614829672,88509262,-2.5137400000000003
71,Jupiter Perpetuals Liquidity Provider Token,jlp,4.6,1593713355,40821876,-1.39836
72,Jupiter,jup,0.530126,1534932120,55089466,-5.49264
73,Binance-Peg WETH,weth,2523.28,1526438454,34359097,-1.33178
74,Bonk,bonk,1.969e-05,1523924593,282558971,-8.88871
75,Binance Staked SOL,bnsol,181.35,1505814580,2048029,-3.01391
76,Sonic (prev. FTM),s,0.44463199999999997,1411428448,103471879,-6.09022
77,KuCoin,kcs,11.22,1402329812,589204,0.23158
78,Fartcoin,fartcoin,1.3900000000000001,1392551627,150349619,-6.13786
79,Quant,qnt,93.28,1356729644,16632932,-3.66265
80,Stacks,stx,0.8622449999999999,1315950104,25042727,-5.09099
81,Kelp DAO Restaked ETH,rseth,2631.26,1268764013,1303285,-1.41374
82,NEXO,nexo,1.26,1261411667,5974916,-0.9230600000000001
