datetime_id,name,last_updated
0,Bitcoin,2025-05-25T20:37:23.382Z
1,Ethereum,2025-05-25T20:37:23.056Z
2,Tether,2025-05-25T20:37:23.139Z
3,XRP,2025-05-25T20:37:22.786Z
4,BNB,2025-05-25T20:37:21.303Z
5,Solana,2025-05-25T20:37:21.367Z
6,USDC,2025-05-25T20:37:30.128Z
7,Dogecoin,2025-05-25T20:37:21.242Z
8,Cardano,2025-05-25T20:37:22.864Z
9,TRON,2025-05-25T20:37:22.404Z
10,Lido Staked Ether,2025-05-25T20:37:29.999Z
11,Wrapped Bitcoin,2025-05-25T20:37:26.285Z
12,Hyperliquid,2025-05-25T20:37:25.263Z
13,Sui,2025-05-25T20:37:27.011Z
14,Wrapped stETH,2025-05-25T20:37:28.992Z
15,Chainlink,2025-05-25T20:37:28.457Z
16,Avalanche,2025-05-25T20:37:22.306Z
17,Stellar,2025-05-25T20:37:22.278Z
18,Shiba Inu,2025-05-25T20:37:29.708Z
19,LEO Token,2025-05-25T20:37:26.340Z
20,Bitcoin Cash,2025-05-25T20:37:21.923Z
21,Hedera,2025-05-25T20:37:21.263Z
22,Monero,2025-05-25T20:37:21.659Z
23,Toncoin,2025-05-25T20:37:27.703Z
24,Litecoin,2025-05-25T20:37:23.590Z
25,WETH,2025-05-25T20:37:22.092Z
26,Polkadot,2025-05-25T20:37:21.845Z
27,USDS,2025-05-25T20:37:22.956Z
28,Bitget Token,2025-05-25T20:37:27.748Z
29,Wrapped eETH,2025-05-25T20:37:22.210Z
30,Binance Bridged USDT (BNB Smart Chain),2025-05-25T20:37:28.997Z
31,Pi Network,2025-05-25T20:37:21.996Z
32,Pepe,2025-05-25T20:37:28.788Z
33,Ethena USDe,2025-05-25T20:37:27.618Z
34,WhiteBIT Coin,2025-05-25T20:37:29.328Z
35,Coinbase Wrapped BTC,2025-05-25T20:37:22.132Z
36,Aave,2025-05-25T20:37:29.485Z
37,Dai,2025-05-25T20:37:28.924Z
38,Bittensor,2025-05-25T20:37:22.797Z
39,Uniswap,2025-05-25T20:37:26.406Z
40,NEAR Protocol,2025-05-25T20:37:22.233Z
41,Aptos,2025-05-25T20:37:26.068Z
42,Jito Staked SOL,2025-05-25T20:37:27.809Z
43,OKB,2025-05-25T20:37:28.951Z
44,BlackRock USD Institutional Digital Liquidity Fund,2025-05-25T20:35:04.677Z
45,Ondo,2025-05-25T20:37:25.787Z
46,Cronos,2025-05-25T20:37:29.715Z
47,Ethereum Classic,2025-05-25T20:37:21.238Z
48,Kaspa,2025-05-25T20:37:21.802Z
49,Internet Computer,2025-05-25T20:37:28.121Z
50,Ethena Staked USDe,2025-05-25T20:37:29.446Z
51,Tokenize Xchange,2025-05-25T20:37:28.522Z
52,Gate,2025-05-25T20:37:24.775Z
53,Official Trump,2025-05-25T20:37:26.881Z
54,Mantle,2025-05-25T20:37:27.060Z
55,Render,2025-05-25T20:37:29.043Z
56,VeChain,2025-05-25T20:37:21.130Z
57,USD1,2025-05-25T20:37:29.459Z
58,Cosmos Hub,2025-05-25T20:37:28.751Z
59,Ethena,2025-05-25T20:37:28.319Z
60,Artificial Superintelligence Alliance,2025-05-25T20:37:30.170Z
61,POL (ex-MATIC),2025-05-25T20:37:27.597Z
62,Worldcoin,2025-05-25T20:37:26.017Z
63,Lombard Staked BTC,2025-05-25T20:37:29.026Z
64,sUSDS,2025-05-25T20:37:29.612Z
65,Fasttoken,2025-05-25T20:37:30.147Z
66,Arbitrum,2025-05-25T20:37:29.806Z
67,Filecoin,2025-05-25T20:37:21.367Z
68,Algorand,2025-05-25T20:37:21.762Z
69,First Digital USD,2025-05-25T20:37:21.982Z
70,Celestia,2025-05-25T20:37:21.260Z
71,Jupiter Perpetuals Liquidity Provider Token,2025-05-25T20:37:26.062Z
72,Jupiter,2025-05-25T20:37:28.186Z
73,Binance-Peg WETH,2025-05-25T20:37:26.347Z
74,Bonk,2025-05-25T20:37:27.092Z
75,Binance Staked SOL,2025-05-25T20:37:26.553Z
76,Sonic (prev. FTM),2025-05-25T20:37:22.406Z
77,KuCoin,2025-05-25T20:37:22.577Z
78,Fartcoin,2025-05-25T20:37:26.608Z
79,Quant,2025-05-25T20:37:27.765Z
80,Stacks,2025-05-25T20:37:21.752Z
81,Kelp DAO Restaked ETH,2025-05-25T20:37:29.539Z
82,NEXO,2025-05-25T20:37:23.059Z
83,Virtuals Protocol,2025-05-25T20:37:27.771Z
84,Optimism,2025-05-25T20:37:27.325Z
85,Flare,2025-05-25T20:37:21.308Z
86,Injective,2025-05-25T20:37:22.954Z
87,Rocket Pool ETH,2025-05-25T20:37:30.047Z
88,USDT0,2025-05-25T20:37:22.870Z
89,Story,2025-05-25T20:37:21.387Z
90,Sei,2025-05-25T20:37:21.709Z
91,EOS,2025-05-25T20:37:21.929Z
92,Immutable,2025-05-25T20:37:25.500Z
93,XDC Network,2025-05-25T20:37:22.249Z
94,dogwifhat,2025-05-25T20:37:27.414Z
95,Solv Protocol BTC,2025-05-25T20:37:28.842Z
96,The Graph,2025-05-25T20:37:21.885Z
97,Curve DAO,2025-05-25T20:37:22.425Z
98,Maker,2025-05-25T20:37:29.796Z
99,Marinade Staked SOL,2025-05-25T20:37:28.004Z
